URL,Owner,Repo,Severity,Type,Score,Cyrillic,Entropy Files,YARA Matches,Status
https://github.com/114514awa666/delta-force-tactical-tools,114514awa666,delta-force-tactical-tools,HIGH,YARA_MATCH,38,False,0,1,PENDING
https://github.com/gicarlos2025/delta-force-elite-tactics,gicarlos2025,delta-force-elite-tactics,HIGH,YARA_MATCH,61,False,0,2,PENDING
https://github.com/nam26012003/delta-force-elite-advantage,nam26012003,delta-force-elite-advantage,HIGH,YARA_MATCH,54,False,0,1,PENDING
https://github.com/Abdulbaqi-ng/delta-force-tactical-toolkit,Abdulbaqi-ng,delta-force-tactical-toolkit,HIGH,YARA_MATCH,46,False,0,1,PENDING
https://github.com/nikhilmoruskar/delta-force-tactical-toolkit,nikhilmoruskar,delta-force-tactical-toolkit,LOW,PATTERN_MATCH,23,False,0,0,PENDING
https://github.com/Saibal-Tony/delta-force-enhanced-engine,Saibal-Tony,delta-force-enhanced-engine,HIGH,YARA_MATCH,76,False,0,3,PENDING
https://github.com/DeltaForce-EliteModToolkit/fastapi-radar,DeltaForce-EliteModToolkit,fastapi-radar,HIGH,YARA_MATCH,100,False,0,4,PENDING
https://github.com/steshk-21/Delta-Force-GameHacks,steshk-21,Delta-Force-GameHacks,HIGH,CYRILLIC_OBFUSCATION,93,True,1,1,PENDING
https://github.com/DeltaForce-Elite-Mods/awesome-mcp-servers,DeltaForce-Elite-Mods,awesome-mcp-servers,HIGH,YARA_MATCH,51,False,0,2,PENDING
https://github.com/nikhilkannale/delta-force-advantage-toolset,nikhilkannale,delta-force-advantage-toolset,HIGH,YARA_MATCH,68,False,0,3,PENDING
https://github.com/TumedeiRiccardo/delta-force-tactical-mods,TumedeiRiccardo,delta-force-tactical-mods,HIGH,YARA_MATCH,61,False,0,2,PENDING
https://github.com/chrisitantaco/delta-force-modded-tools,chrisitantaco,delta-force-modded-tools,LOW,PATTERN_MATCH,31,False,0,0,PENDING
https://github.com/R34korprray/delta-force-enhanced-play,R34korprray,delta-force-enhanced-play,HIGH,YARA_MATCH,99,False,0,4,PENDING
https://github.com/iwadon1226/delta-force-enhanced-playbook,iwadon1226,delta-force-enhanced-playbook,HIGH,CYRILLIC_OBFUSCATION,100,True,1,3,PENDING
https://github.com/euclid1620/delta-force-enhancer-tools,euclid1620,delta-force-enhancer-tools,HIGH,CYRILLIC_OBFUSCATION,100,True,1,3,PENDING
